Provincia di destinazione;Regione geografica di residenza;Paese di residenza;Esercizi alberghieri - Arrivi;Esercizi alberghieri - Presenze;Esercizi complementari - Arrivi;Esercizi complementari - Presenze;Totale esercici ricettivi - Arrivi;Totale esercici ricettivi - Presenze
Frosinone;Unione Europea;  Regno unito;5161;14615;204;428;5365;15043
Frosinone;Unione Europea;  Spagna;1282;2603;57;100;1339;2703
Frosinone;Unione Europea;  Svezia;426;681;47;80;473;761
Frosinone;Unione Europea;  Bulgaria;151;233;10;14;161;247
Frosinone;Unione Europea;  Ceca, Repubblica;743;1485;31;63;774;1548
Frosinone;Unione Europea;  Cipro;6;13;..;..;6;13
Frosinone;Unione Europea;  Croazia;1421;4004;14;23;1435;4027
Frosinone;Unione Europea;  Estonia;28;43;1;3;29;46
Frosinone;Unione Europea;  Lettonia;70;97;..;..;70;97
Frosinone;Unione Europea;  Lituania;1392;2112;4;5;1396;2117
Frosinone;Unione Europea;  Malta;185;325;5;10;190;335
Frosinone;Unione Europea;  Polonia;36955;92745;175;471;37130;93216
Frosinone;Unione Europea;  Romania;998;1991;55;124;1053;2115
Frosinone;Unione Europea;  Slovacchia;124;176;6;16;130;192
Frosinone;Unione Europea;  Slovenia;1312;3070;8;8;1320;3078
Frosinone;Unione Europea;  Ungheria;386;761;22;35;408;796
Viterbo;Paesi Europei non UE;  Islanda;10;16;13;35;23;51
Viterbo;Paesi Europei non UE;  Norvegia;791;2045;215;665;1006;2710
Viterbo;Paesi Europei non UE;  Russia;808;1804;172;495;980;2299
Viterbo;Paesi Europei non UE;  Turchia;143;214;57;184;200;398
Viterbo;Paesi Europei non UE;Svizzera e Liechtenstein;1118;2137;826;3168;1944;5305
Viterbo;Paesi Europei non UE;  Altri paesi europei;228;441;44;118;272;559
Viterbo;Paesi extraeuropei;Egitto;16;20;3;3;19;23
Viterbo;Paesi extraeuropei;Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco);135;240;10;19;145;259
Viterbo;Paesi extraeuropei;Sud Africa;110;154;56;72;166;226
Viterbo;Paesi extraeuropei;Altri paesi africani;108;187;12;26;120;213
Viterbo;Paesi extraeuropei;Israele;319;663;133;314;452;977
Viterbo;Paesi extraeuropei;Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);170;311;9;18;179;329
Viterbo;Paesi extraeuropei;Cina;2403;3170;392;691;2795;3861
Viterbo;Paesi extraeuropei;Giappone;208;312;56;72;264;384
Viterbo;Paesi extraeuropei;Corea del sud;72;119;22;35;94;154
Viterbo;Paesi extraeuropei;India;40;67;9;29;49;96
Viterbo;Paesi extraeuropei;Altri Paesi dell'Asia;252;339;63;105;315;444
Viterbo;Paesi extraeuropei;Canada;593;1034;158;279;751;1313
Viterbo;Paesi extraeuropei;Stati Uniti;3061;6445;717;1892;3778;8337
Viterbo;Paesi extraeuropei;Messico;74;116;19;41;93;157
Viterbo;Paesi extraeuropei;Argentina;273;414;40;70;313;484
Viterbo;Paesi extraeuropei;Brasile;536;956;85;179;621;1135
Viterbo;Paesi extraeuropei;Venezuela;40;75;4;8;44;83
Viterbo;Paesi extraeuropei;Altri Paesi dell'America Settentrionale;4;9;..;..;4;9
Viterbo;Paesi extraeuropei;Altri paesi dell'America Centro- Meridionale;370;673;45;117;415;790
Viterbo;Paesi extraeuropei;Australia;650;1162;201;408;851;1570
Viterbo;Paesi extraeuropei;Nuova Zelanda;106;168;60;131;166;299
Viterbo;Paesi extraeuropei;Altri Paesi dell'Oceania;3;3;..;..;3;3
Viterbo;Paesi extraeuropei;Altri;842;2028;141;707;983;2735
Rieti;Paesi Europei non UE;  Islanda;..;..;..;..;..;..
Rieti;Paesi Europei non UE;  Norvegia;71;106;16;51;87;157
Rieti;Paesi Europei non UE;  Russia;78;120;27;79;105;199
Rieti;Paesi Europei non UE;  Turchia;27;31;5;19;32;50
Rieti;Paesi Europei non UE;Svizzera e Liechtenstein;296;412;36;71;332;483
Rieti;Paesi Europei non UE;  Altri paesi europei;113;196;3;3;116;199
Rieti;Paesi extraeuropei;Egitto;6;15;..;..;6;15
